dataset,lambda,beta,embed_time_sec,node_accuracy_mean,node_accuracy_std,link_auc,link_ap,vectors
cora,0.400000,0.000000,1.953543,0.127909,0.000000,0.728401,0.798165,runs_real/cora_sweep/vec_l0p400_b0p000.txt
cora,0.400000,0.200000,1.973350,0.125422,0.000000,0.722214,0.795300,runs_real/cora_sweep/vec_l0p400_b0p200.txt
cora,0.400000,0.300000,1.968277,0.124001,0.000000,0.722688,0.796464,runs_real/cora_sweep/vec_l0p400_b0p300.txt
cora,0.200000,0.300000,2.140493,0.123468,0.000000,0.729824,0.795178,runs_real/cora_sweep/vec_l0p200_b0p300.txt
cora,0.100000,0.300000,2.325838,0.122579,0.000000,0.710645,0.783964,runs_real/cora_sweep/vec_l0p100_b0p300.txt
cora,0.200000,0.000000,2.440374,0.121514,0.000000,0.721514,0.794359,runs_real/cora_sweep/vec_l0p200_b0p000.txt
cora,0.100000,0.200000,2.623285,0.119026,0.000000,0.706029,0.781952,runs_real/cora_sweep/vec_l0p100_b0p200.txt
cora,0.200000,0.200000,2.627158,0.112809,0.000000,0.717799,0.792570,runs_real/cora_sweep/vec_l0p200_b0p200.txt
cora,0.000000,0.000000,1.892081,0.111743,0.000000,0.663679,0.739513,runs_real/cora_sweep/vec_l0p000_b0p000.txt
cora,0.100000,0.000000,2.225173,0.110499,0.000000,0.712430,0.785670,runs_real/cora_sweep/vec_l0p100_b0p000.txt
cora,0.000000,0.300000,1.693591,0.107301,0.000000,0.662235,0.739332,runs_real/cora_sweep/vec_l0p000_b0p300.txt
cora,0.000000,0.200000,1.632473,0.101794,0.000000,0.679091,0.750992,runs_real/cora_sweep/vec_l0p000_b0p200.txt
