dataset,lambda,beta,embed_time_sec,node_accuracy_mean,node_accuracy_std,link_auc,link_ap,weighted_score,vectors
cora,0.200000,0.300000,0.470733,0.148694,0.000000,0.725533,0.793858,0.321746,runs_real/cora_sweep_dense/vec_l0p200_b0p300.txt
cora,0.200000,0.400000,0.480273,0.147095,0.000000,0.724664,0.794957,0.320366,runs_real/cora_sweep_dense/vec_l0p200_b0p400.txt
cora,0.150000,0.150000,0.485986,0.149227,0.000000,0.719457,0.791809,0.320296,runs_real/cora_sweep_dense/vec_l0p150_b0p150.txt
cora,0.300000,0.200000,0.467876,0.144608,0.000000,0.724818,0.792105,0.318671,runs_real/cora_sweep_dense/vec_l0p300_b0p200.txt
cora,0.350000,0.050000,0.479035,0.141588,0.000000,0.730128,0.798600,0.318150,runs_real/cora_sweep_dense/vec_l0p350_b0p050.txt
cora,0.400000,0.000000,0.479419,0.139279,0.000000,0.729760,0.800598,0.316423,runs_real/cora_sweep_dense/vec_l0p400_b0p000.txt
cora,0.300000,0.250000,0.473140,0.141055,0.000000,0.722246,0.792517,0.315412,runs_real/cora_sweep_dense/vec_l0p300_b0p250.txt
cora,0.400000,0.200000,0.468661,0.134660,0.000000,0.731660,0.795603,0.313760,runs_real/cora_sweep_dense/vec_l0p400_b0p200.txt
cora,0.250000,0.250000,0.491764,0.135726,0.000000,0.728568,0.795852,0.313579,runs_real/cora_sweep_dense/vec_l0p250_b0p250.txt
cora,0.300000,0.350000,0.483379,0.139101,0.000000,0.720311,0.791244,0.313464,runs_real/cora_sweep_dense/vec_l0p300_b0p350.txt
cora,0.400000,0.400000,0.475171,0.139989,0.000000,0.718154,0.793292,0.313438,runs_real/cora_sweep_dense/vec_l0p400_b0p400.txt
cora,0.250000,0.100000,0.476826,0.141233,0.000000,0.711279,0.785640,0.312247,runs_real/cora_sweep_dense/vec_l0p250_b0p100.txt
cora,0.400000,0.350000,0.472858,0.136969,0.000000,0.719205,0.791477,0.311640,runs_real/cora_sweep_dense/vec_l0p400_b0p350.txt
cora,0.350000,0.100000,0.499850,0.133594,0.000000,0.726893,0.794020,0.311584,runs_real/cora_sweep_dense/vec_l0p350_b0p100.txt
cora,0.250000,0.300000,0.474378,0.133772,0.000000,0.725178,0.794235,0.311194,runs_real/cora_sweep_dense/vec_l0p250_b0p300.txt
cora,0.400000,0.250000,0.504872,0.136081,0.000000,0.716887,0.789430,0.310323,runs_real/cora_sweep_dense/vec_l0p400_b0p250.txt
cora,0.200000,0.050000,0.467197,0.133061,0.000000,0.723797,0.793345,0.310282,runs_real/cora_sweep_dense/vec_l0p200_b0p050.txt
cora,0.250000,0.200000,0.500042,0.132350,0.000000,0.722519,0.791000,0.309401,runs_real/cora_sweep_dense/vec_l0p250_b0p200.txt
cora,0.350000,0.400000,0.482753,0.131640,0.000000,0.723535,0.792919,0.309208,runs_real/cora_sweep_dense/vec_l0p350_b0p400.txt
cora,0.350000,0.200000,0.518936,0.129686,0.000000,0.727712,0.795095,0.309094,runs_real/cora_sweep_dense/vec_l0p350_b0p200.txt
cora,0.250000,0.000000,0.482352,0.132883,0.000000,0.718507,0.790457,0.308570,runs_real/cora_sweep_dense/vec_l0p250_b0p000.txt
cora,0.250000,0.150000,0.472444,0.127554,0.000000,0.728203,0.797425,0.307749,runs_real/cora_sweep_dense/vec_l0p250_b0p150.txt
cora,0.150000,0.100000,0.469275,0.131817,0.000000,0.716712,0.787832,0.307285,runs_real/cora_sweep_dense/vec_l0p150_b0p100.txt
cora,0.400000,0.050000,0.487019,0.130751,0.000000,0.718780,0.790834,0.307160,runs_real/cora_sweep_dense/vec_l0p400_b0p050.txt
cora,0.200000,0.200000,0.502215,0.132883,0.000000,0.713697,0.788000,0.307127,runs_real/cora_sweep_dense/vec_l0p200_b0p200.txt
cora,0.150000,0.200000,0.486538,0.129863,0.000000,0.720552,0.791224,0.307070,runs_real/cora_sweep_dense/vec_l0p150_b0p200.txt
cora,0.200000,0.100000,0.466531,0.131640,0.000000,0.715738,0.790262,0.306869,runs_real/cora_sweep_dense/vec_l0p200_b0p100.txt
cora,0.250000,0.350000,0.470370,0.125244,0.000000,0.729051,0.797599,0.306386,runs_real/cora_sweep_dense/vec_l0p250_b0p350.txt
cora,0.100000,0.050000,0.483448,0.137680,0.000000,0.699989,0.776714,0.306373,runs_real/cora_sweep_dense/vec_l0p100_b0p050.txt
cora,0.300000,0.000000,0.486973,0.128442,0.000000,0.718681,0.792502,0.305514,runs_real/cora_sweep_dense/vec_l0p300_b0p000.txt
cora,0.150000,0.050000,0.467130,0.130929,0.000000,0.712280,0.786738,0.305334,runs_real/cora_sweep_dense/vec_l0p150_b0p050.txt
cora,0.200000,0.000000,0.480950,0.123468,0.000000,0.725350,0.795656,0.304033,runs_real/cora_sweep_dense/vec_l0p200_b0p000.txt
